,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
0,0.27000000,8.37580097,-2.57767376,4.75355483,0.00000000,210.13764295,49.21616455,49.21616455,0.98731566,0.01268434,0.01268434
1,0.28000000,8.65672458,-2.66937252,4.92961242,-0.00000000,212.65117609,50.70052147,50.70052147,0.98662827,0.01337173,0.01337173
2,0.29000000,8.93574358,-2.76074402,5.10567001,0.00000000,215.10246480,52.17401077,52.17401077,0.98593069,0.01406931,0.01406931
3,0.30000000,9.21287641,-2.85178452,5.28172759,0.00000000,217.49497835,53.63689211,53.63689211,0.98522329,0.01477671,0.01477671
4,0.31000000,9.48814142,-2.94249056,5.45778518,0.00000000,219.83188319,55.08940466,55.08940466,0.98450646,0.01549354,0.01549354
5,0.32000000,9.76155687,-3.03285888,5.63384276,-0.00000000,222.11607838,56.53176956,56.53176956,0.98378056,0.01621944,0.01621944
6,0.33000000,10.03314093,-3.12288646,5.80990035,0.00000000,224.35022592,57.96419203,57.96419203,0.98304594,0.01695406,0.01695406
7,0.34000000,10.30291167,-3.21257049,5.98595794,-0.00000000,226.53677686,59.38686319,59.38686319,0.98230297,0.01769703,0.01769703
8,0.35000000,10.57088702,-3.30190839,6.16201552,0.00000000,228.67799375,60.79996163,60.79996163,0.98155197,0.01844803,0.01844803
9,0.36000000,10.83708483,-3.39089777,6.33807311,-0.00000000,230.77597024,62.20365476,62.20365476,0.98079327,0.01920673,0.01920673
10,0.37000000,11.10152281,-3.47953643,6.51413070,-0.00000000,232.83264809,63.59810003,63.59810003,0.98002720,0.01997280,0.01997280
11,0.38000000,11.36421856,-3.56782238,6.69018828,-0.00000000,234.84983207,64.98344597,64.98344597,0.97925407,0.02074593,0.02074593
12,0.39000000,11.62518954,-3.65575380,6.86624587,0.00000000,236.82920307,66.35983309,66.35983309,0.97847419,0.02152581,0.02152581
13,0.40000000,11.88445308,-3.74332906,7.04230346,-0.00000000,238.77232958,67.72739470,67.72739470,0.97768785,0.02231215,0.02231215
14,0.41000000,12.14202638,-3.83054670,7.21836104,0.00000000,240.68067793,69.08625759,69.08625759,0.97689535,0.02310465,0.02310465
15,0.42000000,12.39792648,-3.91740542,7.39441863,0.00000000,242.55562130,70.43654272,70.43654272,0.97609697,0.02390303,0.02390303
16,0.43000000,12.65217030,-4.00390409,7.57047621,0.00000000,244.39844780,71.77836569,71.77836569,0.97529297,0.02470703,0.02470703
17,0.44000000,12.90477460,-4.09004173,7.74653380,0.00000000,246.21036759,73.11183730,73.11183730,0.97448364,0.02551636,0.02551636
18,0.45000000,13.15575600,-4.17581751,7.92259139,0.00000000,247.99251937,74.43706398,74.43706398,0.97366924,0.02633076,0.02633076
19,0.46000000,13.40513094,-4.26123074,8.09864897,-0.00000000,249.74597608,75.75414813,75.75414813,0.97285001,0.02714999,0.02714999
20,0.47000000,13.65291575,-4.34628088,8.27470656,-0.00000000,251.47175010,77.06318852,77.06318852,0.97202621,0.02797379,0.02797379
21,0.48000000,13.89912656,-4.43096751,8.45076415,-0.00000000,253.17079793,78.36428059,78.36428059,0.97119808,0.02880192,0.02880192
