,nB/n0,sigma field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
0,0.27000000,66.77303269,4.75363130,209.86404231,53.76424101,53.76424101,0.98346421,0.01653579,0.01653579
1,0.28000000,67.86343582,4.92969172,212.31857943,55.97468187,55.97468187,0.98200611,0.01799389,0.01799389
2,0.29000000,68.90844412,5.10575214,214.70624659,58.17870023,58.17870023,0.98049247,0.01950753,0.01950753
3,0.30000000,69.91000284,5.28181256,217.03073184,60.37273151,60.37273151,0.97892782,0.02107218,0.02107218
4,0.31000000,70.86995987,5.45787298,219.29546921,62.55335177,62.55335177,0.97731712,0.02268288,0.02268288
5,0.32000000,71.79007850,5.63393340,221.50366916,64.71731314,64.71731314,0.97566565,0.02433435,0.02433435
6,0.33000000,72.67204737,5.80999381,223.65834303,66.86157389,66.86157389,0.97397899,0.02602101,0.02602101
7,0.34000000,73.51748821,5.98605423,225.76232261,68.98332276,68.98332276,0.97226286,0.02773714,0.02773714
8,0.35000000,74.32796166,6.16211465,227.81827584,71.07999727,71.07999727,0.97052306,0.02947694,0.02947694
9,0.36000000,75.10497166,6.33817507,229.82871937,73.14929609,73.14929609,0.96876538,0.03123462,0.03123462
10,0.37000000,75.84996865,6.51423549,231.79602873,75.18918576,75.18918576,0.96699554,0.03300446,0.03300446
11,0.38000000,76.56435192,6.69029591,233.72244659,77.19790215,77.19790215,0.96521908,0.03478092,0.03478092
12,0.39000000,77.24947127,6.86635633,235.61008973,79.17394716,79.17394716,0.96344132,0.03655868,0.03655868
13,0.40000000,77.90662824,7.04241674,237.46095502,81.11608146,81.11608146,0.96166733,0.03833267,0.03833267
14,0.41000000,78.53707703,7.21847716,239.27692469,83.02331375,83.02331375,0.95990183,0.04009817,0.04009817
15,0.42000000,79.14202524,7.39453758,241.05977120,84.89488743,84.89488743,0.95814922,0.04185078,0.04185078
16,0.43000000,79.72263448,7.57059800,242.81116187,86.73026518,86.73026518,0.95641352,0.04358648,0.04358648
17,0.44000000,80.28002100,7.74665842,244.53266334,88.52911219,88.52911219,0.95469837,0.04530163,0.04530163
18,0.45000000,80.81525633,7.92271884,246.22574599,90.29127849,90.29127849,0.95300701,0.04699299,0.04699299
19,0.46000000,81.32936797,8.09877926,247.89178833,92.01678098,92.01678098,0.95134231,0.04865769,0.04865769
20,0.47000000,81.82334017,8.27483968,249.53208144,93.70578550,93.70578550,0.94970676,0.05029324,0.05029324
21,0.48000000,82.29811475,8.45090009,251.14783338,95.35858930,95.35858930,0.94810250,0.05189750,0.05189750
22,0.49000000,82.75459208,8.62696051,252.74017363,96.97560419,96.97560419,0.94653130,0.05346870,0.05346870
