,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
0,0.27000000,70.96232800,-2.10355768,4.51473004,208.16945324,72.27310209,72.27310209,0.95983252,0.04016748,0.04016748
1,0.28000000,72.34242232,-2.16532474,4.68194226,210.45906788,75.16453672,75.16453672,0.95642984,0.04357016,0.04357016
2,0.29000000,73.65527476,-2.22556902,4.84915449,212.67686674,78.02083571,78.02083571,0.95295191,0.04704809,0.04704809
3,0.30000000,74.90196693,-2.28436520,5.01636671,214.82786543,80.83409750,80.83409750,0.94942094,0.05057906,0.05057906
4,0.31000000,76.08390064,-2.34180504,5.18357893,216.91689243,83.59721269,83.59721269,0.94585954,0.05414046,0.05414046
5,0.32000000,77.20278599,-2.39799377,5.35079116,218.94856814,86.30401563,86.30401563,0.94228998,0.05771002,0.05771002
6,0.33000000,78.26061467,-2.45304609,5.51800338,220.92727929,88.94938321,88.94938321,0.93873350,0.06126650,0.06126650
7,0.34000000,79.25962185,-2.50708202,5.68521561,222.85715345,91.52927935,91.52927935,0.93520978,0.06479022,0.06479022
8,0.35000000,80.20224062,-2.56022308,5.85242783,224.74203751,94.04074931,94.04074931,0.93173652,0.06826348,0.06826348
9,0.36000000,81.09105259,-2.61258877,6.01964005,226.58548253,96.48187097,96.48187097,0.92832910,0.07167090,0.07167090
10,0.37000000,81.92873813,-2.66429375,6.18685228,228.39073631,98.85167295,98.85167295,0.92500047,0.07499953,0.07499953
11,0.38000000,82.71802892,-2.71544559,6.35406450,230.16074375,101.15002990,101.15002990,0.92176111,0.07823889,0.07823889
12,0.39000000,83.46166500,-2.76614325,6.52127672,231.89815448,103.37754493,103.37754493,0.91861914,0.08138086,0.08138086
13,0.40000000,84.16235734,-2.81647611,6.68848895,233.60533645,105.53542787,105.53542787,0.91558045,0.08441955,0.08441955
14,0.41000000,84.82275685,-2.86652357,6.85570117,235.28439402,107.62537640,107.62537640,0.91264889,0.08735111,0.08735111
15,0.42000000,85.44542962,-2.91635509,7.02291340,236.93718904,109.64946481,109.64946481,0.90982659,0.09017341,0.09017341
